//(Note: The 'images' folder is assumed to be in the "/content/<course path>/" directory),,,,
//Question Text is always a required field,,,,
// An ID will be generated using the (Course code)-(Question number) if an ID is not specified for a question,,,,

// Please ensure that the CSV file is saved as "CSV UTF-8" encoded to ensure that non-ASCII characters like à, ø, é and other are able to be correctly imported,,,,

//MULTISELECT QUESTION TYPE,,,,
NewQuestion,MS,,,
ID,CSCI104-001,,,
Title,Policies Part (a): Acceptable behaviors,,,
QuestionText,"Which of the following are acceptable behaviors in solving homeworks/projects? (Select all that apply)",,,
Points,20,,,
Scoring,RightAnswers,,,
Option,1,"Looking up relevant C++ reference information online",,
Option,0,"Looking up or asking for sample solutions online from sites like Chegg, Github, etc.",,
Option,1,"Talking to my classmates about general approaches about the problems (but no specific coding statements or description of your own code or someone else's code)",,
Option,0,"Copying code from my classmates or an online source, and then editing it significantly",,
Option,1,"Asking the course staff for help",,
Option,0,"Sitting next to my classmate and coding together as a team or with significant conversation about approach",,
Option,0,"Sharing my code with a classmate, even if he/she just wants to read over it and learn from it",,

//MULTISELECT QUESTION TYPE,,,,
NewQuestion,MS,,,
ID,CSCI104-002,,,
Title,Policies Part (b): Disputing a grade,,,
QuestionText,"To dispute a grade on a HW assignment you should (select all that apply)",,,
Points,8,,,
Scoring,RightAnswers,,,
Option,0,"Email the professor immediately.",,
Option,1,"Complete the regrade request form within 1 week of receiving the grade and wait for an issue to be posted to your Github repo.",,
Option,1,"Visit the designated regrade TA within 1 week of your score posting.",,

//MULTISELECT QUESTION TYPE,,,,
NewQuestion,MS,,,
ID,CSCI104-003,,,
Title,Policies Part (c): Late submission policy,,,
QuestionText,"What is the late submission policy (select all that apply)",,,
Points,8,,,
Scoring,RightAnswers,,,
Option,0,"One hour late submission is acceptable for each assignment.",,
Option,1,"Each assignment can be submitted up to two days late for 50% credit.",,
Option,1,"Each student has 5 late days of which only 2 can be used per HW",,
Option,0,"Students need to get an approval before submitting an assignment late.",,

//MULTISELECT QUESTION TYPE,,,,
NewQuestion,MS,,,
ID,CSCI104-004,,,
Title,Policies Part (d): After pushing to GitHub,,,
QuestionText,"After pushing your code to GitHub you should... (select all that apply)",,,
Points,6,,,
Scoring,RightAnswers,,,
Option,0,"Do nothing. Once you push your code you are done.",,
Option,1,"Clone your repo to a temporary folder to ensure all the files you desire are pushed and that your code compiles.",,
Option,0,"Complete the online submission page using your FULL (30 or more digit) SHA.",,

//MULTISELECT QUESTION TYPE,,,,
NewQuestion,MS,,,
ID,CSCI104-005,,,
Title,Policies Part (e): No grace days after deadline,,,
QuestionText,"If you have NO grace days left and it is after the submission deadline, we will accept your assignment under what circumstances (select all that apply)",,,
Points,6,,,
Scoring,RightAnswers,,,
Option,0,"None. We will not accept your submission.",,
Option,0,"There is an hour grace period after the deadline.",,
Option,1,"If there is a technical difficulty (such as wireless trouble, or github commit/push issues, etc.) with submission.",,
Option,0,"If you email us your code as attachments.",,

//TRUE / FALSE QUESTION TYPE - Policies Part (f) Q1,,,,
NewQuestion,TF,,,
ID,CSCI104-006a,,,
Title,Policies Part (f1): Reclone before submitting,,,
QuestionText,"Before submitting your HW you should reclone your repo to a separate folder and ensure all files are present and your code compiles.",,,
Points,4,,,
TRUE,100,Correct.,,
FALSE,0,Incorrect.,,

//TRUE / FALSE QUESTION TYPE - Policies Part (f) Q2,,,,
NewQuestion,TF,,,
ID,CSCI104-006b,,,
Title,Policies Part (f2): Regrade after deadline if you forgot a file,,,
QuestionText,"If you forget to submit a file via GITHUB you can still apply for a regrade after the deadline and submit the missing file.",,,
Points,3,,,
TRUE,100,This is considered incorrect per policy.,,
FALSE,0,Correct.,,

//TRUE / FALSE QUESTION TYPE - Policies Part (f) Q3,,,,
NewQuestion,TF,,,
ID,CSCI104-006c,,,
Title,Policies Part (f3): 7-day regrade window,,,
QuestionText,"You only have 7 days to submit a regrade for homeworks, unless otherwise stated, and after that you are not eligible for a regrade for ANY reason.",,,
Points,3,,,
TRUE,100,Correct.,,
FALSE,0,Incorrect.,,

//MULTISELECT QUESTION TYPE - Git Part (a) - avoid cloning situations,,,,
NewQuestion,MS,,,
ID,CSCI104-007,,,
Title,Git Part (a): Avoid when cloning a Git repo,,,
QuestionText,"When cloning a Git repo, which of the following should you avoid? (Select all that apply)",,,
Points,6,,,
Scoring,RightAnswers,,,
Option,1,"Cloning into a folder that itself is a git repo",,
Option,1,"Cloning into a sync'ed folder like Dropbox or Google Drive",,
Option,1,"Cloning into the Desktop folder of your VM",,

//MULTIPLE CHOICE QUESTION TYPE - Git Part (b1) - stage file,,,,
NewQuestion,MC,,,
ID,CSCI104-008,,,
Title,Git Part (b1): Stage an untracked file,,,
QuestionText,"Which git command stages an untracked file named 'hw1q2b.cpp'?",,,
Points,6,,,
Option,100,git add hw1q2b.cpp,,
Option,0,git commit hw1q2b.cpp,,
Option,0,git status hw1q2b.cpp,,
Option,0,git push origin HEAD,,

//MULTIPLE CHOICE QUESTION TYPE - Git Part (b2) - last three commits,,,,
NewQuestion,MC,,,
ID,CSCI104-009,,,
Title,Git Part (b2): Show last three commits,,,
QuestionText,"Which git command displays the details of the last three commits in the repository?",,,
Points,6,,,
Option,100,git log -n 3,,
Option,0,git show --last 3,,
Option,0,git diff HEAD~3..HEAD,,
Option,0,git reflog -3,,

//MULTIPLE CHOICE QUESTION TYPE - Git Part (c) - re-clone private repo,,,,
NewQuestion,MC,,,
ID,CSCI104-010,,,
Title,Git Part (c): Re-clone your private repo,,,
QuestionText,"What is the full command to re-clone your private CSCI104 repo to your VM (assume you are in an appropriate folder)?",,,
Points,8,,,
Option,100,git clone git@github.com:yourusername/csci104.git,,
Option,0,git init csci104,,
Option,0,git fork csci104,,
Option,0,git pull origin master,,

//MULTIPLE CHOICE QUESTION TYPE - LL Recursion Part (a),,,,
NewQuestion,MC,,,
ID,CSCI104-011,,,
Title,LL Recursion Part (a): Trace llrec with lists 1,2,3,4 and 5,6,,,
QuestionText,"What linked list is returned by llrec when called with in1 = 1,2,3,4 and in2 = 5,6?",,,
Points,10,,,
Option,100,"1,5,2,6,3,4",,
Option,0,"5,1,6,2,3,4",,
Option,0,"1,2,3,4,5,6",,
Option,0,"5,6,1,2,3,4",,

//MULTIPLE CHOICE QUESTION TYPE - LL Recursion Part (b),,,,
NewQuestion,MC,,,
ID,CSCI104-012,,,
Title,LL Recursion Part (b): Trace llrec with nullptr and 2,,,
QuestionText,"What linked list is returned by llrec when called with in1 = nullptr and in2 = 2?",,,
Points,6,,,
Option,100,2,,
Option,0,nullptr,,
Option,0,"2,1",,
Option,0,"1,2",,
//(Note: The 'images' folder is assumed to be in the "/content/<course path>/" directory),,,,
//Question Text is always a required field,,,,
// An ID will be generated using the (Course code)-(Question number) if an ID is not specified for a question,,,,

// Please ensure that the CSV file is saved as "CSV UTF-8" encoded to ensure that non-ASCII characters like à, ø, é and other are able to be correctly imported,,,,

//MULTISELECT QUESTION TYPE,,,,
NewQuestion,MS,,,
ID,CSCI104-001,,,
Title,Policies Part (a): Acceptable behaviors,,,
QuestionText,Which of the following are acceptable behaviors in solving homeworks/projects? (Select all that apply),,,
Points,20,,,
Scoring,RightAnswers,,,
Option,1,Looking up relevant C++ reference information online,,
Option,0,Looking up or asking for sample solutions online from sites like Chegg, Github, etc.,,
Option,1,Talking to my classmates about general approaches about the problems (but no specific coding statements or description of your own code or someone else's code),,
Option,0,Copying code from my classmates or an online source, and then editing it significantly,,
Option,1,Asking the course staff for help,,
Option,0,Sitting next to my classmate and coding together as a team or with significant conversation about approach,,
Option,0,Sharing my code with a classmate, even if he/she just wants to read over it and learn from it,,

//MULTISELECT QUESTION TYPE,,,,
NewQuestion,MS,,,
ID,CSCI104-002,,,
Title,Policies Part (b): Disputing a grade,,,
QuestionText,To dispute a grade on a HW assignment you should (select all that apply),,,
Points,8,,,
Scoring,RightAnswers,,,
Option,0,Email the professor immediately.,,
Option,1,Complete the regrade request form within 1 week of receiving the grade and wait for an issue to be posted to your Github repo.,,
Option,1,Visit the designated regrade TA within 1 week of your score posting.,,

//MULTISELECT QUESTION TYPE,,,,
NewQuestion,MS,,,
ID,CSCI104-003,,,
Title,Policies Part (c): Late submission policy,,,
QuestionText,What is the late submission policy (select all that apply),,,
Points,8,,,
Scoring,RightAnswers,,,
Option,0,One hour late submission is acceptable for each assignment.,,
Option,1,Each assignment can be submitted up to two days late for 50% credit.,,
Option,1,Each student has 5 late days of which only 2 can be used per HW,,
Option,0,Students need to get an approval before submitting an assignment late.,,

//MULTISELECT QUESTION TYPE,,,,
NewQuestion,MS,,,
ID,CSCI104-004,,,
Title,Policies Part (d): After pushing to GitHub,,,
QuestionText,After pushing your code to GitHub you should... (select all that apply),,,
Points,6,,,
Scoring,RightAnswers,,,
Option,0,Do nothing. Once you push your code you are done.,,
Option,1,Clone your repo to a temporary folder to ensure all the files you desire are pushed and that your code compiles.,,
Option,0,Complete the online submission page using your FULL (30 or more digit) SHA.,,

//MULTISELECT QUESTION TYPE,,,,
NewQuestion,MS,,,
ID,CSCI104-005,,,
Title,Policies Part (e): No grace days after deadline,,,
QuestionText,If you have NO grace days left and it is after the submission deadline, we will accept your assignment under what circumstances (select all that apply),,,
Points,6,,,
Scoring,RightAnswers,,,
Option,0,None. We will not accept your submission.,,
Option,0,There is an hour grace period after the deadline.,,
Option,1,If there is a technical difficulty (such as wireless trouble, or github commit/push issues, etc.) with submission.,,
Option,0,If you email us your code as attachments.,,

//TRUE / FALSE QUESTION TYPE - Policies Part (f) Q1,,,,
NewQuestion,TF,,,
ID,CSCI104-006a,,,
Title,Policies Part (f1): Reclone before submitting,,,
QuestionText:Before submitting your HW you should reclone your repo to a separate folder and ensure all files are present and your code compiles.,,,
Points,4,,,
TRUE,100,Correct.,,
FALSE,0,Incorrect.,,

//TRUE / FALSE QUESTION TYPE - Policies Part (f) Q2,,,,
NewQuestion,TF,,,
ID,CSCI104-006b,,,
Title,Policies Part (f2): Regrade after deadline if you forgot a file,,,
QuestionText:If you forget to submit a file via GITHUB you can still apply for a regrade after the deadline and submit the missing file.,,,
Points,3,,,
TRUE,100,This is considered incorrect per policy.,,
FALSE,0,Correct.,,

//TRUE / FALSE QUESTION TYPE - Policies Part (f) Q3,,,,
NewQuestion,TF,,,
ID,CSCI104-006c,,,
Title,Policies Part (f3): 7-day regrade window,,,
QuestionText:You only have 7 days to submit a regrade for homeworks, unless otherwise stated, and after that you are not eligible for a regrade for ANY reason.,,,
Points,3,,,
TRUE,100,Correct.,,
FALSE,0,Incorrect.,,

//MULTISELECT QUESTION TYPE - Git Part (a) - avoid cloning situations,,,,
NewQuestion,MS,,,
ID,CSCI104-007,,,
Title,Git Part (a): Avoid when cloning a Git repo,,,
QuestionText,When cloning a Git repo, which of the following should you avoid? (Select all that apply),,,
Points,6,,,
Scoring,RightAnswers,,,
Option,1,Cloning into a folder that itself is a git repo,,
Option,1,Cloning into a sync'ed folder like Dropbox or Google Drive,,
Option,1,Cloning into the Desktop folder of your VM,,

//MULTIPLE CHOICE QUESTION TYPE - Git Part (b1) - stage file,,,,
NewQuestion,MC,,,
ID,CSCI104-008,,,
Title,Git Part (b1): Stage an untracked file,,,
QuestionText,Which git command stages an untracked file named 'hw1q2b.cpp'?,,,
Points,6,,,
Option,100,git add hw1q2b.cpp,,
Option,0,git commit hw1q2b.cpp,,
Option,0,git status hw1q2b.cpp,,
Option,0,git push origin HEAD,,

//MULTIPLE CHOICE QUESTION TYPE - Git Part (b2) - last three commits,,,,
NewQuestion,MC,,,
ID,CSCI104-009,,,
Title,Git Part (b2): Show last three commits,,,
QuestionText,Which git command displays the details of the last three commits in the repository?,,,
Points,6,,,
Option,100,git log -n 3,,
Option,0,git show --last 3,,
Option,0,git diff HEAD~3..HEAD,,
Option,0,git reflog -3,,

//MULTIPLE CHOICE QUESTION TYPE - Git Part (c) - re-clone private repo,,,,
NewQuestion,MC,,,
ID,CSCI104-010,,,
Title,Git Part (c): Re-clone your private repo,,,
QuestionText,What is the full command to re-clone your private CSCI104 repo to your VM (assume you are in an appropriate folder)?,,,
Points,8,,,
Option,100,git clone git@github.com:yourusername/csci104.git,,
Option,0,git init csci104,,
Option,0,git fork csci104,,
Option,0,git pull origin master,,

//MULTIPLE CHOICE QUESTION TYPE - LL Recursion Part (a),,,,
NewQuestion,MC,,,
ID,CSCI104-011,,,
Title,LL Recursion Part (a): Trace llrec with lists `1 2 3 4` and `5 6`,,,
